time,wx,wy,wz
8.605133056640625,-0.72,2.05,-0.05
8.614851951599121,-0.34,2.04,0.13
8.625566005706787,0.19,2.42,0.32
8.634779930114746,0.6,2.94,0.31
8.647034883499146,0.58,3.08,0.03
8.656661033630371,0.25,2.92,-0.42
8.66709280014038,0.04,2.35,-0.86
8.693432807922363,1.04,0.69,-0.78
8.693858861923218,1.04,0.69,-0.78
8.695833921432495,2.08,-0.54,-0.32
8.705753803253174,2.12,-1.0,0.07
8.716028928756714,1.2,-0.69,-0.0
8.726505756378174,0.53,-0.07,-0.32
8.73721194267273,0.61,0.41,-0.39
8.74722695350647,1.19,0.37,-0.19
8.756963968276978,1.69,0.06,0.32
8.767292022705078,1.85,-0.28,0.97
8.796686887741089,0.7,-1.59,2.78
8.797123908996582,0.7,-1.59,2.78
8.798138856887817,0.7,-1.59,2.78
8.806464910507202,0.27,-2.08,3.07
8.81656289100647,-0.04,-2.43,3.19
9.038976907730103,-0.63,-1.54,-0.96
9.039238929748535,-0.63,-1.54,-0.96
9.040417909622192,-0.63,-1.54,-0.96
9.040895938873291,-0.63,-1.54,-0.96
9.041354894638062,-0.63,-1.54,-0.96
9.041799068450928,-0.63,-1.54,-0.96
9.042239904403687,-0.63,-1.54,-0.96
9.042757987976074,-0.63,-1.54,-0.96
9.043295860290527,-0.63,-1.69,-0.9
9.044232845306396,-0.63,-1.69,-0.9
9.044716835021973,-0.63,-1.69,-0.9
9.045187950134277,-0.63,-1.69,-0.9
9.047366857528687,-0.63,-1.69,-0.9
9.04783582687378,-0.63,-1.69,-0.9
9.048282861709595,-0.63,-1.69,-0.9
9.048724889755249,-0.63,-1.69,-0.9
9.04918098449707,-0.63,-1.69,-0.9
9.049640893936157,-0.63,-1.69,-0.9
9.050145864486694,-0.63,-1.69,-0.9
9.05063796043396,-0.63,-1.69,-0.9
9.05108094215393,-0.63,-1.69,-0.9
9.051897048950195,-0.63,-1.69,-0.9
9.056097984313965,-0.59,-1.76,-0.87
9.065010070800781,-0.56,-1.71,-0.92
9.075037956237793,-0.57,-1.56,-1.03
9.08516788482666,-0.66,-1.35,-1.16
9.095609903335571,-0.83,-1.06,-1.24
9.10646390914917,-0.97,-0.67,-1.32
9.116690874099731,-1.08,-0.29,-1.41
58.106138944625854,-0.11,-0.52,-0.2
58.10677099227905,-0.11,-0.52,-0.2
58.107311964035034,-0.11,-0.52,-0.2
58.10785102844238,-0.11,-0.52,-0.2
58.108383893966675,-0.11,-0.52,-0.2
58.1089448928833,-0.11,-0.52,-0.2
58.109488010406494,-0.17,-0.53,-0.18
58.1112699508667,-0.17,-0.53,-0.18
58.111814975738525,-0.17,-0.53,-0.18
58.11248779296875,-0.17,-0.53,-0.18
58.113032817840576,-0.17,-0.53,-0.18
58.11353778839111,-0.17,-0.53,-0.18
58.11405277252197,-0.17,-0.53,-0.18
58.114595890045166,-0.17,-0.53,-0.18
58.115139961242676,-0.17,-0.53,-0.18
58.11567306518555,-0.17,-0.53,-0.18
58.11621809005737,-0.17,-0.53,-0.18
58.11673402786255,-0.17,-0.53,-0.18
58.11725187301636,-0.17,-0.53,-0.18
58.11776876449585,-0.17,-0.53,-0.18
58.11828374862671,-0.17,-0.53,-0.18
58.11880588531494,-0.17,-0.53,-0.18
58.11929893493652,-0.17,-0.53,-0.18
58.11980485916138,-0.2,-0.53,-0.17
58.12136793136597,-0.2,-0.53,-0.17
58.12188100814819,-0.2,-0.53,-0.17
58.12237191200256,-0.2,-0.53,-0.17
58.122907876968384,-0.2,-0.53,-0.17
58.12574100494385,-0.2,-0.53,-0.17
58.126242876052856,-0.2,-0.53,-0.17
58.12673807144165,-0.2,-0.53,-0.17
58.12722587585449,-0.2,-0.53,-0.17
58.12749004364014,-0.2,-0.53,-0.17
58.12768793106079,-0.2,-0.53,-0.17
58.12787985801697,-0.2,-0.53,-0.17
58.12808084487915,-0.2,-0.53,-0.17
58.128273010253906,-0.2,-0.53,-0.17
58.128467082977295,-0.2,-0.53,-0.17
58.12866687774658,-0.2,-0.53,-0.17
58.12897491455078,-0.2,-0.53,-0.17
58.12917709350586,-0.2,-0.53,-0.17
58.12937688827515,-0.2,-0.53,-0.17
58.12961387634277,-0.2,-0.52,-0.16
58.130033016204834,-0.2,-0.52,-0.16
58.130239963531494,-0.2,-0.52,-0.16
58.130444049835205,-0.2,-0.52,-0.16
58.130645751953125,-0.2,-0.52,-0.16
58.130849838256836,-0.2,-0.52,-0.16
58.13105297088623,-0.2,-0.52,-0.16
58.131255865097046,-0.2,-0.52,-0.16
58.13146185874939,-0.2,-0.52,-0.16
58.1316659450531,-0.2,-0.52,-0.16
58.131868839263916,-0.2,-0.52,-0.16
58.132071018218994,-0.2,-0.52,-0.16
58.132274866104126,-0.2,-0.52,-0.16
58.13257884979248,-0.2,-0.52,-0.16
58.13278675079346,-0.2,-0.52,-0.16
58.13300395011902,-0.2,-0.52,-0.16
58.13321399688721,-0.2,-0.52,-0.16
58.13342785835266,-0.2,-0.52,-0.16
58.13364791870117,-0.2,-0.52,-0.16
58.13375687599182,-0.2,-0.52,-0.16
58.13398599624634,-0.2,-0.52,-0.16
58.13420295715332,-0.2,-0.52,-0.16
58.13441586494446,-0.2,-0.52,-0.16
58.134636878967285,-0.2,-0.52,-0.16
58.13484787940979,-0.2,-0.52,-0.16
58.1350519657135,-0.2,-0.52,-0.16
58.135257959365845,-0.2,-0.52,-0.16
58.13546705245972,-0.2,-0.52,-0.16
58.13567590713501,-0.2,-0.52,-0.16
58.136024951934814,-0.2,-0.52,-0.16
58.13619804382324,-0.2,-0.52,-0.16
58.13636088371277,-0.2,-0.52,-0.16
58.13643980026245,-0.2,-0.52,-0.16
58.13673686981201,-0.2,-0.52,-0.16
58.13689184188843,-0.2,-0.52,-0.16
58.137096881866455,-0.2,-0.52,-0.16
58.13717293739319,-0.2,-0.52,-0.16
58.137250900268555,-0.2,-0.52,-0.16
58.13739991188049,-0.2,-0.52,-0.16
58.137547969818115,-0.2,-0.52,-0.16
58.13769483566284,-0.2,-0.52,-0.16
